input_path,rouge2,rougel,bertscore,nb_words_input,nb_words_gold,nb_words_generated,success,over_context
dialogsum_1_text_en.json,0.05405405405405405,0.12612612612612611,0.18230873346328735,218,19,94,1,0
dialogsum_1_text_fr.json,0.0,0.03980099502487562,0.12168697267770767,218,22,175,1,0
dialogsum_2_text_en.json,0.1259842519685039,0.2589928057553957,0.33223408460617065,327,36,93,1,0
dialogsum_2_text_fr.json,0.09120521172638438,0.17475728155339806,0.20869462192058563,327,46,225,1,0
dialogsum_3_text_en.json,0.14634146341463414,0.192,0.28714466094970703,214,25,100,1,0
dialogsum_3_text_fr.json,0.0,0.0394088669950739,0.1875348687171936,214,32,167,1,0
dialogsum_4_text_en.json,0.14583333333333334,0.19095477386934673,0.3152289092540741,316,32,162,1,0
dialogsum_4_text_fr.json,0.0,0.05649717514124294,0.25264474749565125,316,32,138,1,0
dialogsum_5_text_en.json,0.16216216216216214,0.3185840707964602,0.3804628551006317,206,34,79,1,0
dialogsum_5_text_fr.json,0.014285714285714287,0.06329113924050633,0.19483788311481476,206,17,121,1,0
mediasum_1_text_en.json,0.08275862068965519,0.12244897959183673,0.17595843970775604,725,28,119,1,0
mediasum_1_text_fr.json,0.046875,0.11627906976744186,0.20050059258937836,725,28,190,1,0
mediasum_2_text_en.json,0.02259887005649717,0.1340782122905028,0.11500377953052521,733,49,130,1,0
mediasum_2_text_fr.json,0.0,0.007352941176470589,-0.011578488163650036,733,49,205,1,0
mediasum_3_text_en.json,0.13402061855670103,0.2346938775510204,0.252897173166275,532,92,104,1,0
mediasum_3_text_fr.json,0.11555555555555555,0.28193832599118945,0.2759895622730255,532,92,97,1,0
mediasum_4_text_en.json,0.08888888888888888,0.22026431718061676,0.28668469190597534,664,98,129,1,0
mediasum_4_text_fr.json,0.017492711370262388,0.06956521739130435,0.17015130817890167,664,98,229,1,0
mediasum_5_text_en.json,0.015625,0.10769230769230771,0.1600574105978012,644,28,102,1,0
mediasum_5_text_fr.json,0.004962779156327544,0.019753086419753086,0.06028171628713608,644,28,361,1,0
samsum_1_text_en.json,0.11627906976744186,0.22988505747126436,0.3577752411365509,214,47,127,1,0
samsum_1_text_fr.json,0.0,0.07773851590106008,0.14292769134044647,214,47,234,1,0
samsum_2_text_en.json,0.16058394160583941,0.2302158273381295,0.3311479091644287,371,42,97,1,0
samsum_2_text_fr.json,0.0,0.012618296529968454,0.08916105329990387,371,42,271,1,0
samsum_3_text_en.json,0.1818181818181818,0.23448275862068962,0.3417421877384186,92,41,104,1,0
samsum_3_text_fr.json,0.0,0.07142857142857141,0.19826719164848328,92,41,89,1,0
samsum_4_text_en.json,0.125,0.1780821917808219,0.29944825172424316,225,43,103,1,0
samsum_4_text_fr.json,0.0,0.04861111111111111,-0.017625316977500916,225,43,236,1,0
samsum_5_text_en.json,0.02564102564102564,0.2,0.2521084249019623,67,15,65,1,0
samsum_5_text_fr.json,0.0,0.04,0.037732794880867004,67,15,83,1,0
xsum_1_text_en.json,0.020833333333333332,0.14285714285714285,0.12926165759563446,360,27,71,1,0
xsum_1_text_fr.json,0.0,0.0,-0.03328729793429375,360,27,367,1,0
xsum_2_text_en.json,0.049019607843137254,0.1262135922330097,0.19576340913772583,432,31,175,1,0
xsum_2_text_fr.json,0.05213270142180095,0.09433962264150941,0.17617809772491455,432,31,348,1,0
xsum_3_text_en.json,0.12048192771084339,0.28235294117647064,0.18595626950263977,724,30,55,1,0
xsum_3_text_fr.json,0.04651162790697675,0.12643678160919541,0.15260280668735504,724,30,121,1,0
xsum_4_text_en.json,0.028985507246376812,0.1971830985915493,0.2539122402667999,316,28,43,1,0
xsum_4_text_fr.json,0.0746268656716418,0.17647058823529413,0.2610412538051605,316,28,88,1,0
xsum_5_text_en.json,0.07048458149779736,0.13100436681222707,0.1645873636007309,397,28,201,1,0
xsum_5_text_fr.json,0.026490066225165563,0.1045751633986928,0.1632447987794876,397,28,107,1,0
